vigencia,ID_acuerdo,fec_sanc,titulo,articulado,tema,alcalde,pre_concejo,estado_acuerdo,obs_vigencia
2008,AD-001-2008,2008-03-13,"Por medio se adiciona el acuerdo 024 de diciembre 27 de 2004, mediante el cual se establecen normas de conducta ciudadana en el Distrito de Cartagena y se dictan otras disposiciones",2,Comportamiento ciudadano,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-002-2008,2008-06-05,"Por medio del cual se adopta el plan de desarrollo economico, social y de obras publicas del distrito turistico y cultural de cartagena 2008-2011 por una sola Cartagena",74,Plan de Desarrollo,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Vigente,No aplica
2008,AD-003-2008,2008-06-11,Por el cual se modifica el acuerdo 048 de 03 de diciembre de 2007 por el cual se establece la escala de remuneracion correspondiente a las distintas categorias de empleos de la alcaldia mayor de cartagena de indias,4,Gestion administrativa,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Vigente,No aplica
2008,AD-004-2008,2008-07-30,Por el cual se autoriza a la alcaldesa mayor de cartagena de indias d t y c a efectuar cesión gratuita de varios bienes inmuebles para el funcionamiento de estaciones sub estaciones de policía y centros de atención inmediata de la policía metropolitana de cartagena de indias,5,Cesion de predios o bienes,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-005-2008,2008-08-12,Por medio de la cual se crea el sistema integral de orientacion vocacional y profesional a estudiantes del distrito de cartagena -siovo,5,Educacion,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Vigente,No aplica
2008,AD-006-2008,2008-08-12,Por el cual se establecen medidas para promover la donación voluntaria de sangre en el D T y C de Cartagena de Indias,4,Salud,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Vigente,No aplica
2008,AD-007-2008,2008-08-12,"Por el cual se incorpora el Colegio Mayor de Bolivar al Distrito de Cartagena de Indias, D. T. y C. y se dictan otras disposiciones",3,Gestion administrativa,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Vigente,No aplica
2008,AD-008-2008,2008-08-12,"Por el que se autoriza al alcalde mayor para convertir la deuda derivada del prestamo n° 1089/oc-co de marzo 14 de 1998, firmado entre el distrito de cartagena de indias y el BID, de dolares a pesos colombianos y de tasa variable a fija",4,Operaciones de credito,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-009-2008,2008-08-12,Por el cual se concede una autorizacion a la alcaldesa mayor del Distrito de Cartagena para ceder un inmueble al Instituto Nacional de Medicina Legal y Ciencias Forenses,2,Cesion de predios o bienes,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-010-2008,2008-08-12,Por el cual se autoriza comprometer vigencias futuras excepcionales para la ejecución del proyecto denominado entrega en concesion de dos establecimientos educativos por parte del distrito en el marco de los programas de inversión contemplados en el plan nacional de desarrollo 2006 - 2010,4,Vigencias futuras,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-011-2008,2008-08-12,Por medio del cual se constituye el censo de perros potencialmente peligrosos en d. t. y. c de cartagena de indias y se dictan otras disposiciones,8,Proteccion animal,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-012-2008,2008-08-28,Por el cual se faculta a la alcaldesa mayor de cartagena de indias d t y c para contratar el encargo fiduciario de administracion del patrimonio autonomo del fondo de pensiones del distrito de cartagena de indias,4,Gestion contractual,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-013-2008,2008-08-28,"Por el cual se reglamenta la organización del fondo de salud del distrito turístico y cultural cartagena de indias, la operación y registro de las cuentas maestras para el manejo de los recursos del fondo de salud y se dictan otras disposiciones",10,Salud,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Vigente,No aplica
2008,AD-014-2008,2008-09-09,Por medio del cual se modifica el acuerdo no. 005 del 13 de mayo de 1996,8,Derechos humanos,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-015-2008,2008-09-10,Por el cual se concede una autorización al alcalde para comprometer vigencias futuras tendientes a la financiacion del sistema integrado de transporte masivo,6,Vigencias futuras,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-016-2008,2008-09-10,Por el cual se ordena el cobro de una contribución de valorización por beneficio general para la realización  de un conjunto de obras y se dictan otras disposiciones,8,Finanzas Publicas,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-017-2008,2008-10-22,"Por el cual se efectua una adicion y un traslado en el presupuesto de ingresos, gastos e inversiones de la vigencia fiscal de 2008",3,Finanzas Publicas,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-018-2008,2008-12-05,Por el cual se reajustan los salarios de los funcionarios del distrito turistico y cultural de cartagena de indias,2,Gestion administrativa,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-019-2008,2008-12-10,Por el cual se concede una autorización a la alcaldesa mayor del distrito de cartagena para comprometer vigencias futuras tendientes a la efectiva continuidad en la prestación de servicios y adquisición de bienes dentro del primer trimestre de la vigencia fiscal 2009,2,Vigencias futuras,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-020-2008,2008-12-12,Por el cual se establece la escala de remuneracion correspondiente a las distintas categorias de empleos de la alcaldia mayor de cartagena de indias d t y c,2,Gestion administrativa,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Vigente,No aplica
2008,AD-021-2008,2008-12-17,Por el cual se otorgan facultades a la alcaldesa del distrito turistico y cultural de cartagena para celebrar operaciones de credito publico y asimiladas hasta por la suma de $100.000 millones de pesos mlc,3,Operaciones de credito,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2008,AD-022-2008,2008-12-17,"Por el cual se aprueba el presupuesto de rentas, recursos de capital y recursos de fondos especiales; apropiaciones de funcionamiento y de servicio de la deuda del distrito, asi como el plan de inversiones para la vigencia Fiscal 2009 en el Distrito turistico y cultural de de Cartagena de indias",101,Finanzas Publicas,Judith Del Carmen Pinedo Florez,Alberto Bernal Jimenez,Derogado,Derogado por el acuerdo 195 de 2025
2009,AD-001-2009,2009-01-29,"Por medio del cual se fijan los lineamientos que enmarcaran la política pública Distrital para la prevención y rehabilitación de consumo de tabaco, alcohol y otras sustancias psicoactivas, en niños, y adolescentes en Cartagena de indias",15,Salud,Judith Del Carmen Pinedo Florez,David Dager Lequerica,Vigente,No aplica
